iter	Passed	Remaining
399	98151	24537
400	98345	24279
401	98528	24019
402	98767	23772
403	98957	23514
404	99146	23256
405	99320	22995
406	99494	22734
407	99685	22478
408	99862	22218
409	100042	21960
410	100229	21704
411	100417	21448
412	100601	21192
413	100812	20941
414	100985	20683
415	101178	20430
416	101482	20199
417	101710	19952
418	101907	19700
419	102100	19447
420	102277	19192
421	102445	18935
422	102635	18683
423	102822	18430
424	102995	18175
425	103211	17928
426	103391	17675
427	103593	17426
428	103820	17182
429	104013	16932
430	104197	16681
431	104375	16429
432	104552	16177
433	104726	15926
434	104902	15675
435	105078	15424
436	105303	15181
437	105477	14930
438	105656	14681
439	105855	14434
440	106039	14186
441	106220	13938
442	106394	13689
443	106564	13440
444	106748	13193
445	106925	12946
446	107109	12699
447	107296	12454
448	107509	12211
449	107695	11966
450	107877	11720
451	108055	11474
452	108251	11231
453	108426	10985
454	108603	10740
455	108796	10497
456	108983	10254
457	109177	10011
458	109360	9768
459	109543	9525
460	109773	9286
461	109970	9045
462	110138	8801
463	110309	8558
464	110495	8316
465	110677	8075
466	110867	7834
467	111050	7593
468	111246	7353
469	111432	7112
470	111616	6872
471	111808	6632
472	112027	6394
473	112210	6155
474	112394	5915
475	112572	5675
476	112756	5436
477	112937	5197
478	113114	4959
479	113290	4720
480	113469	4482
481	113660	4244
482	113865	4007
483	114074	3771
484	114266	3534
485	114449	3296
486	114616	3059
487	114808	2823
488	114984	2586
489	115158	2350
490	115350	2114
491	115538	1878
492	115726	1643
493	115918	1407
494	116120	1172
495	116312	938
496	116511	703
497	116703	468
498	116886	234
499	117068	0
